FID,Shape,latitude,longitude,hwmTypeNam,hwmQuality,Uncertainty,approvalMe,markerName,site_no,siteDescri,stateName,hwm_id,waterbody,hwm_qualit,hwm_locati,survey_dat,elev_ft,Flood,hwm_enviro,flag_date,stillwater,Curvature,Altitude,Storm surge,Wind speed,Rain,Soil moisture,Slope_Asp,Impervious,Flow accumulation,TWI,Slope,Distance to river,Distance to storm track,Distance to sea,HAND
88,Point,40.633801,-74.12885,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYRIC31265,"Jewett Ave. and Castleton Ave., at Levy Playground, Port Richmond, Staten Island",NY,40959,Flash flooding,2,Seed line inside of playground wheel.,9/10/2021 4:00,15.5,2.21,Riverine,9/8/2021,0,-2659450000,3.91451,0.772498,34.5728,0.045157,0.392925,254.786,88,2,-1.97395,0.114578,0.000249,0.397564,0.075825,4.2884
226,Point,40.888684,-73.894321,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYBRO31266,"West side of Van Cortlandt Park Golf Course and north of the Major Deegan Expy., Van Cortlandt Park, Bronx",NY,40960,Flash flooding,3,Seed line on southwest wing wall of Old Putnam Trail overpass.,9/27/2021 4:00,16.4,5.46,Riverine,9/8/2021,0,0,6.0194,1.53845,32.4275,0.128616,0.401071,-1,0,29,1.02167,0,0.00099,0.57821,0.108986,6.02687
89,Point,40.627906,-74.133512,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYRIC31259,"Haughwout Ave., between Cortlandt St. and Dryden Ct., Elm Park,  Staten Island",NY,40961,Flash flooding,2,Seed line on side of house.,9/10/2021 4:00,19.3,1.85,Riverine,9/7/2021,1,-1778440000,5.20485,0.772498,34.5617,0.04496,0.392925,32.6885,55,49,-0.96853,0.698685,0.000077,0.393176,0.074193,5.68251
227,Point,40.89022,-73.895858,Seed line,Excellent: +/- 0.05 ,0.05,Ron Busciolano,Marker,NYBRO31267,"East of Broadway, at Van Cortlandt Pool, Van Cortlandt Park, Bronx",NY,40962,Flash flooding,1,Seed line on the back of blue building to the right of the left most door.,9/18/2021 4:00,16.2,4.97,Riverine,9/8/2021,0,0,6.0194,1.53845,32.4275,0.128616,0.401071,-1,83,146,2.6109,0,0.00015,0.580109,0.110664,6.02686
165,Point,40.739744,-73.897418,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31268,"East of intersection of 67th St. and Laurel Hill Blvd., Maspeth, Queens",NY,40963,Flash flooding,2,Seed line on cement walkway wall.,9/16/2021 4:00,31.9,0.84,Riverine,9/8/2021,0,283986000,11.1606,1.11811,32.7473,0.105642,0.400435,194.126,83,1,-4.67556,1.13828,0.011759,0.435851,0.167035,10.9587
166,Point,40.729346,-73.907689,Seed line,Excellent: +/- 0.05 ,0.05,Ron Busciolano,Marker,NYQUE31269,"54th Ave., west of Maurice Ave., Maspeth, Queens",NY,40964,Flash flooding,1,Seed line on west side of garage wall.,9/22/2021 4:00,16.2,4.31,Riverine,9/8/2021,1,-430429000,8.76154,0.938485,32.2973,0.109468,0.400435,357.239,88,52,-1.20543,0.938546,0.001756,0.428675,0.156711,8.76168
90,Point,40.622075,-74.148731,Seed line,Excellent: +/- 0.05 ,0.05,Ron Busciolano,Not marked,NYRIC31271,"Vedder Ave., between Willow Rd. West and Holiday Dr., Graniteville, Staten Island",NY,40965,Flash flooding,1,Continuous seed line on white PVC fence in yard of house.,9/10/2021 4:00,30.2,2.26,Riverine,9/8/2021,0,-1853470000,9.47227,0.777682,34.6908,0.043068,0.388148,144.169,75,2,-3.94814,0.825001,0.00706,0.391751,0.079426,9.29502
228,Point,40.761743,-73.87616,Mud,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31272,"Intersection of 93rd St. and 30th Ave., Jackson Heights, Queens",NY,40968,Flash flooding,2,Mud line on sidewalk wall.,9/22/2021 4:00,32.4,0.6,Riverine,9/8/2021,0,-654787000,9.69986,1.33235,33.8609,0.092849,0.400435,224.727,88,4,-4.64869,2.76847,0.009567,0.451164,0.136712,9.06176
167,Point,40.73707,-73.845924,Debris,Poor: +/- 0.40 ,0.4,Ron Busciolano,Tape,NYQUE31258,"Intersection of 62nd Dr. and Grand Central Pkwy. service road, Forest Hills, Queens",NY,40969,Flash flooding,4,Leaf and stick debris line along black playground chain-link fence.,9/7/2021 4:00,12.3,2.2,Riverine,9/7/2021,0,692157000,3.61348,1.58975,33.7572,0.119348,0.331936,75.8893,54,0,-4.12899,0.329534,0.000465,0.419134,0.133327,3.6519
168,Point,40.736606,-73.846059,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31258,"Intersection of 62nd Dr. and Grand Central Pkwy. service road, Forest Hills, Queens",NY,40970,Flash flooding,3,Seed line on second fence post north of gate to parking lot to building.,9/7/2021 4:00,12.1,3.5,Riverine,9/7/2021,0,8793750,3.67986,1.58975,33.7572,0.119348,0.331936,84.7173,81,5,-2.42156,0.358526,0.000182,0.418724,0.133783,3.82695
169,Point,40.737707,-73.846818,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31261,"Grand Central Pkwy. service road, between 62nd Dr. and Horace Harding Expy. service road, Forest Hills, Queens",NY,40971,Flash flooding,2,"Seed line on north wall of brick building, about 30 ft north of brown door.",9/7/2021 4:00,12.6,2.44,Riverine,9/7/2021,0,47139700,4.0001,1.58975,33.7572,0.119348,0.331936,83.9263,66,17,-1.37163,0.376412,0.000255,0.419992,0.133339,4.16355
91,Point,40.630695,-74.130259,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYRIC31260,"Intersection of Post Ave. and Jewett Ave., Port Richmond,  Staten Island",NY,40974,Flash flooding,2,Seed line on wall of building next to liquor store at Post Ave. and Jewett Ave.,9/10/2021 4:00,18.5,2.11,Riverine,9/8/2021,1,-2812280000,4.77484,0.772498,34.5728,0.045157,0.392925,295.695,88,261,0.159824,1.1845,0.000222,0.394964,0.074218,5.48101
92,Point,40.623342,-74.140413,Debris,Fair: +/- 0.20 ,0.2,Ron Busciolano,Paint,NYRIC31262,"Forest Ave., between Crystal Ave. and Marianne St., in Target store parking lot, Westerleigh, Staten Island",NY,40975,Flash flooding,3,Debris line on fence in southwest corner of Target Store parking lot.,9/10/2021 4:00,27.6,2.5,Riverine,9/8/2021,0,-1603920000,8.2571,0.777682,34.5617,0.04496,0.388148,248.071,92,11,-3.54795,2.21068,0.000336,0.390684,0.075045,8.77585
93,Point,40.633761,-74.128814,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYRIC31265,"Jewett Ave. and Castleton Ave., at Levy Playground, Port Richmond, Staten Island",NY,40976,Flash flooding,2,Seed line on inside of climbing wall.,9/10/2021 4:00,15.4,1.92,Riverine,9/8/2021,0,873889000,3.92447,0.772498,34.5728,0.045157,0.392925,290.234,88,0,-4.35864,0.414602,0.000209,0.397515,0.075771,4.2884
170,Point,40.723835,-73.846067,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31276,"Intersection of 69th Rd. and Yellowstone Blvd., Forest Hills, Queens",NY,40980,Flash flooding,2,Seed line at bottom of ramp inside delivery door of building.,11/23/2021 5:00,33.6,0.91,Riverine,9/9/2021,1,-1449600000,15.3645,1.51718,33.8294,0.125999,0.331936,282.616,66,22,-2.72672,1.86415,0.000744,0.406447,0.144085,15.2504
171,Point,40.687879,-73.911141,Seed line,Poor: +/- 0.40 ,0.4,Ron Busciolano,Marker,NYKIN31278,"Evergreen Ave., between Eldert St. and Covert St., Bushwick, Brooklyn",NY,40982,Flash flooding,4,Seed line on bike hitching post on east side of Evergreen Ave. adjacent to Tiger Park.,10/20/2021 4:00,36.7,0.91,Riverine,9/9/2021,0,-257402000,11.563,0.895223,32.6505,0.124579,0.400435,351.454,92,14499,5.70916,0.255043,0.000696,0.389752,0.115439,11.6058
172,Point,40.738118,-73.901358,Stain line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Tape,NYQUE31279,"Alley north of 50th Ave., between 64th St. and 65th St., Woodside, Queens",NY,40983,Flash flooding,3,"Duct tape marked by resident on side of vinyl fence, with visible seed line underneath.",9/16/2021 4:00,32.2,6.21,Riverine,9/9/2021,0,379479000,10.9583,0.979423,32.7473,0.105642,0.400435,11.9805,84,22,-1.37224,0.48126,0.010971,0.43537,0.166594,10.9587
94,Point,40.632609,-74.123061,Debris,Excellent: +/- 0.05 ,0.05,Ron Busciolano,Not marked,NYRIC31280,"Taylor St., between Cary Ave. and Castleon Ave., West Brighton, Staten Island",NY,40984,Flash flooding,1,Debris line on green plywood barrier fence.,9/9/2021 4:00,34.8,0.91,Riverine,9/9/2021,0,-2217400000,10.3822,0.772707,34.5728,0.045157,0.400435,347.469,71,2,-2.3755,0.171195,0.003578,0.394827,0.071496,11.0446
173,Point,40.695151,-73.915255,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Nail and HWM tag,NYKIN31281,"Intersection of Wilson Ave. and Palmetto St., Bushwick, Brooklyn",NY,40985,Flash flooding,2,Seed line on third tree east of intersection of Palmetto St. and Wilson Ave.,10/20/2021 4:00,31.5,3.05,Riverine,9/9/2021,0,580324000,11.3584,0.897508,32.5192,0.120627,0.400435,194.116,87,25,-1.51695,0.628733,0.00008,0.397874,0.121703,11.3571
95,Point,40.626374,-74.144662,Debris,Good: +/- 0.10 ,0.1,Ron Busciolano, ,NYRIC31283,"Villa Ave., between Dixon Ave. and Port Richmond Ave., Elm Park, Staten Island",NY,40987,Flash flooding,2,Debris line on chain-link fence.,9/9/2021 4:00,29.3,1.32,Riverine,9/9/2021,0,2291140000,9.58939,0.774188,34.6908,0.043068,0.392925,83.6785,58,9,-2.50442,0.649149,0.004389,0.394766,0.08013,8.41042
174,Point,40.726882,-73.848106,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31288,"Alley between 68th Ave. and 67th Dr., Forest Hills, Queens",NY,40990,Flash flooding,2,Seed line on north side of white garage door.,9/13/2021 4:00,33,0.8,Riverine,9/9/2021,0,1227720000,15.6167,1.51718,33.8294,0.125999,0.331936,238.96,82,0,-5.96946,2.075,0.000366,0.409937,0.142924,14.8613
175,Point,40.732376,-73.847996,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31289,"Alley between 64th Rd. and 65th Ave., Forest Hills, Queens",NY,40992,Flash flooding,3,Seed line on right side corner of garage building.,9/13/2021 4:00,32.4,0.94,Riverine,9/9/2021,0,-737757000,11.6924,1.51718,33.7572,0.119348,0.331936,353.375,67,16,-3.01968,1.84686,0.001355,0.415189,0.13835,11.9436
176,Point,40.73573,-73.847329,Mud,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31290,"63rd Ave., between 110th St. and Grand Central Pkwy. service road, Forest Hills, Queens",NY,40993,Flash flooding,2,"Mud line on outside of basement door with silver handle, second door left of the corner of the building .",9/13/2021 4:00,12.8,1.8,Riverine,9/9/2021,1,263025000,4.9581,1.51718,33.7572,0.119348,0.331936,73.3343,84,1,-3.6797,0.420535,0.000113,0.418231,0.135237,5.02696
96,Point,40.605535,-74.156962,Debris,Fair: +/- 0.20 ,0.2,Ron Busciolano, ,NYRIC31291,"Near south end of Morani St. at Willowbrook Park, Mid Island, Staten Island",NY,40994,Flash flooding,3,Debris line in woods.,9/9/2021 4:00,32.3,0,Riverine,9/9/2021,0,1067600000,9.85288,0.790129,34.3379,0.046582,0.388148,296.57,26,1,-2.37723,0.114328,0.001843,0.378108,0.070754,10.8713
97,Point,40.589076,-74.125044,Debris,Poor: +/- 0.40 ,0.4,Ron Busciolano,Paint,NYRIC31292,"Near west shore of Ohrbach Lake at William H. Pouch Boy Scout Camp, Staten Island",NY,40995,Flash flooding,4,"Debris line on grass, downstream of Ohrbach Lake culvert.",9/9/2021 4:00,240.7,0,Riverine,9/9/2021,0,-1990520000,73.3847,0.791131,33.7919,0.055831,0.243375,200.245,0,3,-4.93518,2.94918,0.008512,0.353514,0.038824,31.5075
98,Point,40.626237,-74.144543,Debris,Fair: +/- 0.20 ,0.2,Ron Busciolano, ,NYRIC31283,"Villa Ave., between Dixon Ave. and Port Richmond Ave., Elm Park, Staten Island",NY,41012,Flash flooding,3,Debris line on chain-link fence across the street from HWM-1.,9/9/2021 4:00,29,0.72,Riverine,9/9/2021,0,-2146140000,9.58939,0.774188,34.6908,0.043068,0.392925,324.005,69,11,-2.43925,0.729823,0.00421,0.394602,0.079949,8.42313
99,Point,40.605499,-74.156896,Debris,Good: +/- 0.10 ,0.1,Ron Busciolano, ,NYRIC31291,"Near south end of Morani St. at Willowbrook Park, Mid Island, Staten Island",NY,41013,Flash flooding,2,"Second debris line in woods, adjacent to HWM-1; approximately 20 ft away.",9/9/2021 4:00,32.3,0,Riverine,9/9/2021,0,3938210000,9.9402,0.790129,34.3379,0.046582,0.388148,272.501,26,0,-4.71065,0.589519,0.001918,0.378055,0.070691,10.9612
100,Point,40.606423,-74.156568,Debris,Excellent: +/- 0.05 ,0.05,Ron Busciolano, ,NYRIC31291,"Near south end of Morani St. at Willowbrook Park, Mid Island, Staten Island",NY,41015,Flash flooding,1,"Debris line in woods, north of lake (see sketch).",9/9/2021 4:00,32.6,0,Riverine,9/9/2021,0,-745717000,9.85288,0.790129,34.3379,0.046582,0.388148,269.629,9,80,-0.49267,0.703288,0.00149,0.378854,0.071345,10.8385
130,Point,40.702427,-73.946444,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Nail and HWM tag,NYKIN31308,"Throop Ave, between Gerry St. and Wallabout St., Williamsburg, Brooklyn",NY,41017,Flash flooding,3,Seed line of second tree northwest of intersection of Throop Ave. and Gerry St.,10/20/2021 4:00,13.3,0.93,Riverine,9/10/2021,0,0,4.0129,0.711823,31.5191,0.109888,0.400435,355.084,100,139,2.65404,0.052264,0.005505,0.413438,0.120296,4.08508
177,Point,40.711261,-73.779794,Debris,Fair: +/- 0.20 ,0.2,Ron Busciolano,Tape,NYQUE31313,"Intersection of 182nd St. and 90th Ave., Jamaica, Queens",NY,41021,Flash flooding,3,Debris line on chain link fence.,9/27/2021 4:00,48.2,0.76,Riverine,9/10/2021,0,0,14.865,1.90402,35.9667,0.186609,0.331936,-1,97,163,2.72034,0,0.00348,0.37615,0.120831,14.0473
131,Point,40.701143,-73.948417,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Paint,NYKIN31314,"Harrison Ave., between Wallabout St. and Gerry St., Williamsburg, Brooklyn",NY,41023,Flash flooding,2,"Seed line on construction wall on south side of Harrison Ave, southeast of the intersection of Wallabout St and Harrison Ave.",10/20/2021 4:00,12.2,1.3,Riverine,9/10/2021,0,104336000,3.8653,0.711823,31.5191,0.109888,0.400435,147.99,94,0,-2.79673,0.086958,0.003156,0.412746,0.118175,3.84804
132,Point,40.700937,-73.951153,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYKIN31319,"Marcy Ave. between Walton St. and Wallabout St., Williamsburg, Brooklyn",NY,41028,Flash flooding,3,Seed line on northern side of red FDNY call box.,10/20/2021 4:00,12.1,1.92,Riverine,9/10/2021,0,458791000,3.86235,0.643554,31.5191,0.109888,0.400435,215.436,92,0,-4.15943,0.339717,0.001137,0.413299,0.116612,3.71928
178,Point,40.73921,-73.765131,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31320,"Near intersection of 73rd Ave. and 210th St., in playground, Cunningham Park, Queens",NY,41029,Flash flooding,2,Seed line on black door.,9/14/2021 4:00,78.6,0.4,Riverine,9/10/2021,0,1022180000,25.4955,2.16346,35.349,0.183126,0.331936,10.3931,17,0,-4.77536,0.628929,0.010317,0.398996,0.099548,25.5037
133,Point,40.699782,-73.950827,Mud,Poor: +/- 0.40 ,0.4,Ron Busciolano,Marker,NYKIN31321,"Flushing Ave., between Marcy Ave. and Lee Ave., Williamsburg, Brooklyn",NY,41030,Flash flooding,4,Mud line on wall left of concrete steps in front of 597 Flushing Ave.,10/20/2021 4:00,13.9,0.65,Riverine,9/10/2021,0,120502000,3.7204,0.643554,31.5191,0.109888,0.400435,62.1131,91,56,2.2926,0.030543,0.000396,0.412099,0.115776,3.66955
179,Point,40.730147,-73.805993,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31322,"Near intersection of 163rd St. and 71st Ave., Pomonok, Queens",NY,41031,Flash flooding,2,Seed line on brown garage door (second from the corner of the building).,9/14/2021 4:00,56.4,2,Riverine,9/10/2021,0,778922000,19.884,1.79328,34.6605,0.155263,0.331936,54.9182,85,0,-4.58281,0.518778,0.000073,0.401507,0.120227,19.9877
180,Point,40.730574,-73.804656,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31323,"71st Ave., between 164th St. and 165th St., Pomonok, Queens",NY,41032,Flash flooding,3,"Seed line on house next to front door, already marked with chalk upon arrival.",9/14/2021 4:00,59.8,4.58,Riverine,9/10/2021,0,500151000,18.7534,1.79328,34.6605,0.155263,0.331936,32.8966,76,0,-4.1193,0.326355,0.000127,0.40155,0.119258,18.9782
181,Point,40.718133,-73.770739,Debris,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31326,"Palermo St., between Palo Alto Ave. and Salerno Ave., Holliswood, Queens",NY,41035,Flash flooding,3,Debris line on green wooden fence.,9/27/2021 4:00,131,0.37,Riverine,9/10/2021,0,-201642000,40.6304,1.97238,35.7892,0.186124,0.331936,300.04,49,6,-3.91184,1.85586,0.007102,0.38027,0.121192,39.8021
101,Point,40.627907,-74.122774,Debris,Good: +/- 0.10 ,0.1,Ron Busciolano,Tape,NYRIC31327,"Forest Ave., between Clove Rd. and Raymond Pl., Port Richmond, Staten Island",NY,41036,Flash flooding,2,"Debris line in privacy slats of chain-link fence, east side of fence.",9/10/2021 4:00,60.9,1.58,Riverine,9/10/2021,0,-6353090000,18.0915,0.772707,34.4031,0.047303,0.400435,289.702,82,50387,4.83458,2.12424,0.000008,0.390227,0.067491,18.5458
102,Point,40.639567,-74.138244,Seed line,Excellent: +/- 0.05 ,0.05,Ron Busciolano,Not marked,NYRIC31328,"Richmond Ter., between Port Ln. and Treadwell Ave., Elm Park, Staten Island",NY,41037,Flash flooding,1,Seed line on white PVC fence in back yard of house.,9/10/2021 4:00,9.8,1.19,Riverine,9/10/2021,0,-5781990000,2.56383,0.772498,34.9554,0.040433,0.392925,338.845,69,684,1.87244,0.558719,0.003782,0.405689,0.086137,2.4997
182,Point,40.72237,-73.877717,Seed line,Poor: +/- 0.40 ,0.4,Ron Busciolano,Marker,NYQUE31264,"62nd Ave., between 79th St. and 80th St., Middle Village, Queens",NY,41040,Flash flooding,4,Seed line on white and tan vinyl fence.,9/8/2021 4:00,93.6,1.05,Riverine,9/8/2021,0,-398717000,30.2683,1.21499,33.3802,0.113231,0.400435,43.67,96,126,0.556757,0.386106,0.011127,0.413733,0.151199,30.4686
218,Point,40.795039,-73.95129,Debris,Fair: +/- 0.20 ,0.2,Ron Busciolano,Paint,NYNEW31394,"West of intersection of 5th Ave. and East 107th St., near east bank of Harlem Meer, Central Park, Manhattan",NY,41105,Flash flooding,3,"Debris line on the east side of Harlem Meer, on right hand side by lake.",9/13/2021 4:00,14.4,0,Riverine,9/13/2021,0,-286372000,5.56625,0.852275,28.9582,0.100478,0.400435,324.405,7,1429,4.35701,0.097234,0.004655,0.503818,0.184174,5.61021
219,Point,40.866126,-73.928156,Debris,Excellent: +/- 0.05 ,0.05,Ron Busciolano,Not marked,NYNEW31395,"Seaman Ave., between Dyckman St. and Riverside Dr., Inwood, Manhattan",NY,41106,Flash flooding,1,Debris line on front grill of white Mercedes vehicle that owner of the shop verified has not been moved since the storm.,9/13/2021 4:00,20.9,1.95,Riverine,9/13/2021,0,-233111000,8.30727,1.32207,31.6369,0.109338,0.400435,342.474,98,3,-4.1642,1.36512,0.011265,0.565815,0.142694,8.80227
220,Point,40.87368,-73.919569,Debris,Excellent: +/- 0.05 ,0.05,Ron Busciolano,Not marked,NYNEW31396,"Northwest of intersection of Indian Rd. and West 218th St., at cut channel of the Harlem River, Inwood Hill Park, Manhattan",NY,41107,Harlem River,1,Cut channel of the Harlem River located in Inwood Hill Park.,9/13/2021 4:00,6.9,0,Riverine,9/13/2021,0,505220000,3.38019,1.32207,31.8907,0.113009,0.400435,332.926,35,2,-4.31818,1.19434,0.006048,0.570719,0.133793,3.46926
183,Point,40.714701,-73.842791,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31419,"Near intersection of Ascan Ave. and Russell Pl., Forest Hills, Queens",NY,41130,Flash flooding,3,Seed line on blue post to stop sign on Ascan Avenue.,9/29/2021 4:00,84.4,1.45,Riverine,9/14/2021,0,-167717000,24.7107,1.45007,33.946,0.13308,0.331936,294.74,53,4,-2.60167,0.357736,0.009609,0.396764,0.134452,24.7067
184,Point,40.718402,-73.840423,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31422,"Intersection of Ascan Ave. and Austin St., Forest Hills, Queens",NY,41134,Flash flooding,3,Seed line on side of USPS postal box near northwest corner of Austin St. and Ascan Ave.,9/29/2021 4:00,68.4,1.71,Riverine,9/14/2021,0,296580000,23.5285,1.45007,34.1646,0.139642,0.331936,14.2672,97,2,-3.34872,0.453053,0.008107,0.399673,0.137584,23.5755
185,Point,40.719936,-73.844833,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31424,"Near intersection of Continental Ave. (71st Ave.) and Austin St., Forest Hills, Queens",NY,41136,Flash flooding,3,Seed line on sign near bike rack.,9/29/2021 4:00,64.3,1.83,Riverine,9/14/2021,0,277189000,22.5627,1.45007,33.946,0.13308,0.331936,348.329,98,5,-4.84221,4.02797,0.004016,0.402359,0.140009,23.8317
186,Point,40.717063,-73.846652,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31427,"Intersection of Continental Ave. (71st Ave.) and Slocum Crescent, Forest Hills, Queens",NY,41139,Flash flooding,3,Seed line on blue street light pole.,9/29/2021 4:00,73.4,2.58,Riverine,9/14/2021,0,962827000,21.7977,1.45007,33.946,0.13308,0.331936,332.694,42,0,-4.94938,0.748461,0.006162,0.400096,0.137636,21.8209
